P (kPa);T (K);Título;cp (kJ/kg K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt)
2100;316;0;1.72770617029723;0.495427214826805;0.586880567292645
2100;320;0;1.74322970924455;0.474967369647009;0.564990067205112
2100;324;0;1.75875018753171;0.455743936863229;0.544402097284674
2100;328;0;1.77422006089686;0.437656471291296;0.525011923693039
2100;332;0;1.789756302686;0.420614208552625;0.506724784954826
2100;336;0;1.80529799338709;0.404535308924182;0.489455178970336
2100;340;0;1.82093719604545;0.389345827830426;0.47312580107296
2100;344;0;1.83648379326947;0.374978815647622;0.457666613757106
2100;348;0;1.85212921729968;0.361373414540149;0.44301388970386
2100;352;0;1.86776670962217;0.348474332854827;0.429109695584171
2100;356;0;1.88340274700624;0.336231130237169;0.415901129104867
2100;360;0;1.89910296624488;0.324597942776054;0.403340083271263
2100;364;0;1.91490530400965;0.313532675347455;0.391382340194199
2100;368;0;1.93062391018918;0.302996745694938;0.379987332738079
2100;372;0;1.94639938028173;0.29295502620243;0.369118149474139
2100;376;0;1.96231577807292;0.283375025161254;0.358740577929087
2100;380;0;1.97816834957581;0.274227007072528;0.348823315811468
2100;384;0;1.99407056840525;0.265483469877918;0.339337367106692
2100;388;0;2.01006152609664;0.257119033410355;0.330255949471631
2100;392;0;2.02616578933761;0.249110395887005;0.321554487363551
2100;396;0;2.04228261611304;0.241435847020767;0.313210030449672
2100;400;0;2.05834046056171;0.23407542456696;0.30520149401039
2100;404;0;2.07468093693452;0.227010544751185;0.29750921774494
2100;408;0;2.09096430468568;0.220223907369108;0.290114873353423
2100;412;0;2.10737547865826;0.213699448549492;0.283001432824974
2100;416;0;2.12386059392148;0.207422288911413;0.276153130080428
2100;420;0;2.14054443318465;0.201378434182154;0.269555090561702
2100;424;0;2.15717757880867;0.195555008616474;0.263193666302254
2100;428;0;2.17406650951772;0.189939776349721;0.257055818853199
2100;432;0;2.19104403348086;0.184521391234305;0.251129473458459
2100;436;0;2.20809015483986;0.179289234278242;0.245403321161683
2100;440;0;2.22531913770941;0.174233318633246;0.239866707592238
2100;444;0;2.24276427717583;0.169344255855872;0.234509603145692
2100;448;0;2.26042673617712;0.164613212163271;0.2293225585905
2100;452;0;2.27824118991872;0.160031919908093;0.22429673691278
2100;456;0;2.29627865144774;0.155592494149314;0.219423671964694
2100;460;0;2.31447651383998;0.151287587709061;0.214695498936269
2100;464;0;2.33308107435315;0.147110103839055;0.210104562265586
2100;468;0;2.35189810606056;0.143053465643998;0.205643809292869
2100;472;0;2.37104322578529;0.139111301551699;0.201306354961118
2100;476;0;2.39051578543132;0.135277605926314;0.197085721999657
2100;480;0;2.41040517044711;0.131546648596783;0.192975723256754
2100;484;0;2.43068470692909;0.127912894356299;0.188970354747557
2100;488;0;2.45147134772145;0.124371081719772;0.185063922016009
2100;492;0;2.47273269751201;0.120916083650338;0.181250846254924
2100;496;0;2.49466077111757;0.117543004229247;0.17752581940689
2100;500;0;2.51717896799672;0.114247015816025;0.173883572849074
2100;504;0;2.54043870896464;0.111023454189096;0.170319032805873
2100;508;0;2.56450049271648;0.107867690497251;0.166827140101639
2100;512;0;2.58958022893891;0.1047751729292;0.163402928300429
2100;516;0;2.61564433333324;0.101741339653995;0.160041406371411
2100;520;0;2.64302323648664;0.0987616103125639;0.156737563722032
2100;524;0;2.67174013943952;0.0958312971712301;0.153486251492966
2100;528;0;2.70212760898712;0.0929456181556068;0.150282227772207
2100;532;0;2.73439699236344;0.0900995480874783;0.147119948534203
2100;536;0;2.76903509504858;0.0872877667827495;0.143993515114733
2100;540;0;2.80631018329309;0.0845045666907692;0.140896562517477
2100;544;0;2.84683974811756;0.0817436580098053;0.137821982664992
2100;548;0;2.89143197762154;0.0789980125601392;0.134761714301455
2100;552;0;2.94097562759748;0.0762595795056546;0.131706321658001
2100;556;0;2.99686683649556;0.0735188901862527;0.128644380447133
2100;560;0;3.06117100121445;0.0707644702963507;0.125561516393474
2100;564;0;3.13651594273491;0.0679819343415957;0.12243884644865
2100;568;0;3.22744099143679;0.0651524875328108;0.119250265851389
2100;572;0;3.34127978660338;0.0622501830202781;0.115957236431989
2450;291;0;1.63082666057793;0.659625330472135;0.76164553649346
2450;295.1;0;1.64661444191312;0.627542604056344;0.727549714434739
2450;299.2;0;1.66239977509694;0.597763100748163;0.695865698256088
2450;303.3;0;1.67820532817809;0.570068470137239;0.666367084181189
2450;307.4;0;1.69398905744198;0.544264301090924;0.638851948470372
2450;311.5;0;1.70974622993377;0.520179026457853;0.613142047293976
2450;315.6;0;1.72563162567884;0.497659654698523;0.589078243816156
2450;319.7;0;1.74150968594793;0.476569856822858;0.566518621919493
2450;323.8;0;1.75730681263866;0.456787843196719;0.545336303456179
2450;327.9;0;1.77319368924198;0.438204551320818;0.525417584506173
2450;332;0;1.78908374297413;0.4207217468235;0.506659920883039
2450;336.1;0;1.80495676101369;0.404251422271361;0.488971432559037
2450;340.2;0;1.82093303983483;0.388713778457384;0.472268674712285
2450;344.3;0;1.83686581254107;0.374037063215785;0.456476617830366
2450;348.4;0;1.85289084500186;0.360156199658211;0.441527144843376
2450;352.5;0;1.86884337584432;0.347011943014748;0.427358159853571
2450;356.6;0;1.88493384516385;0.334550750894974;0.413913556337277
2450;360.7;0;1.9008919630137;0.322723567402537;0.401141835723231
2450;364.8;0;1.9170195127911;0.311485717860994;0.388996075385283
2450;368.9;0;1.93311732868234;0.300796644069079;0.377433696693468
2450;373;0;1.94934309971921;0.29061888706773;0.366415278802027
2450;377.1;0;1.9654627299342;0.280918271248445;0.355904861080824
2450;381.2;0;1.98174218822827;0.27166339665189;0.34586937446892
2450;385.3;0;1.99802192342899;0.262825296264736;0.336278268014724
2450;389.4;0;2.0143715973504;0.254377448635833;0.327103581917083
2450;393.5;0;2.0308472281916;0.246295313460618;0.318319407011721
2450;397.6;0;2.04723777979666;0.238556236781487;0.309901808612263
2450;401.7;0;2.0637721050823;0.231139215618502;0.301828565077386
2450;405.8;0;2.08038112505811;0.22402482544507;0.294079112574738
2450;409.9;0;2.09707470631567;0.21719513897955;0.286634477226694
2450;414;0;2.11386322514263;0.210633483000652;0.279476990780957
2450;418.1;0;2.13072504277699;0.204324178095051;0.272589974836418
2450;422.2;0;2.14770394806323;0.198252891636179;0.265958237757251
2450;426.3;0;2.16476282313484;0.192406059817473;0.259567332854
2450;430.4;0;2.18194707475428;0.186771096625909;0.253403859641978
2450;434.5;0;2.1993702163742;0.181336301097281;0.247455364156537
2450;438.6;0;2.2167475714948;0.176090588292552;0.241709994380791
2450;442.7;0;2.23446150621838;0.171023661803799;0.236156753595153
2450;446.8;0;2.25226159548168;0.16612586789107;0.230785321016016
2450;450.9;0;2.27026663655923;0.161388022984846;0.225585829204404
